Hechos del mes,Dialogo,Actualización,Estado,Motivo de fusión,Motivo de pase a latente,Motivo de pase a inactivo,Forma de resolución,NombreReportePDFModificado,FechaReporte,NumeroEdicion,GrupoID
"Según lo informado por el MININTER a la Defensoría del Pueblo, el 18 de octubre se realizó en Tambobamba una reunión informativa de la SGSD-PCM sobre los avances del Plan de Desarrollo de Cotabambas y el distrito de Progreso. Participaron representantes del Viceministerio de Gobenanza, Secretaría de Descentralización, SGSD-PCM, MINEM, MINAM, MTC, MINEDU, Alcalde provincial de Cotabambas, Alcalde de Challhuahuacho, Alcalde de Mara, Alcalde de Haquira, Gobierno Regional de Apurímac. No asistieron los Alcaldes de Cotabambas ni Coyllurqui. El 25 de octubre se publicó el D.S. 105-2018-PCM que declaró el Estado de Emergencia por el término de 30 días calendario a partir del 30 de octubre, en parte del Corredor Vial Apurímac - Cusco - Arequipa, desde el kilómetro 130 (referencia Sector Muyu Orcco) hasta el kilómetro 160 (referencia Sector Tiendayoc), de la Ruta Nacional PE-3SY, que comprende el distrito de Colquemarca de la provincia de Chumbivilcas, incluyendo los 500 metros adyacentes a cada lado del corredor en mención. El 29 de octubre se reunieron en Cusco la DGASA-MTC, SGSD- PCM, la comunidad de Fuerabamba y el MININTER. Según lo informado por la SGSD-PCM se acordó que la próxima reunión se efectuará una vez que registros públicos entregue los títulos archivados del Fundo Yavi Yavi, solicitados por el MTC. Por otro lado, el 7 de noviembre se realizó una reunión en la Casa Campesina de Challhuahuacho, entre la comunidad de Antuyo, el MTC y la SGSD-PCM para tratar como agenda el cumplimiento del acta de acuerdos entre la comunidad de Choquecca Antio y Antuyo del 15 de junio. Los representantes de la comunidad de Choquecca Antio no asistieron a la reunión pese a que fueron convocados. Se acordó que el MTC convocará a la SGSD-PCM, Gobierno Regional de Apurímac, Municipalidad Provincial de Cotabambas, Defensoría del Pueblo y a los presidentes de ambas comunidades para el 14 de noviembre.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-176-Octubre-2018.pdf,31/10/2018,176,Grupo_1237
"El día 17 de octubre, en el distrito de Velille, se realizó la sesión del Comité de DIálogo Ampliado para el Desarrollo del Distrito de Velille. Participaron el alcalde de la Municipalidad Distrital de Velille, el Coordinador Técnico de la Municipalidad de Velille, el presidente del Frente de Defensa de los Intereses de Velille, el alcalde electo y regidores, presidentes y delegados de las comunidades campesinas de Tuntuma, Casa Blanca, Ccollana, Cullahuata, Urasana, Ayaccasi, Alccavictoria y Merquez, funcionarios de la OGGS - MINEM, SGSD -PCM y la empresa minera Las Bambas. Se acordó lo siguiente: 1. Incorporar al Comité de Diálogo Ampliado una presidencia colegiada conformada de la siguiente manera: Ministerio de Energía y Minas, Presidencia del Consejo de Ministros, Municipalidad de Velille y la Minera Las Bambas, facilitado por una entidad del ejecutivo con las competencias de ley. 2. Con referencia a la matriz de proyectos de Velille, se realizará un taller la segunda quincena del mes de noviembre, donde la PCM gestionará la participación de los diferentes sectores del ejecutivo involucrados. 3. Conformar cinco grupos de trabajo para abordar los cinco puntos de agenda propuestos por los representantes de Velille a la empresa, para ello el alcalde del Municipio de Velille se compromete a acreditar a sus representantes hasta el 31 de octubre, las reuniones se llevarán a cabo una vez al mes como mínimo.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-176-Octubre-2018.pdf,31/10/2018,176,Grupo_1776
"El 20 de diciembre, el presidente de Antuyo invitó a una reunión a los representantes del MTC, SGSD-PCM, empresa Minera Las Bambas y Gobierno Regional de Apurímac, para participar en una reunión multisectorial el día 28, a las 10.00 horas en Tambobamba, cuya agenda a tratar es: i) la rajadura del 95% de las viviendas de Antuyo, ii) el paso de los vehículos pesados de la Empresa Minera las Bambas por la comunidad de Antuyo, y iii) el pago de indemnización por derecho de vía de la ruta nacional PE 3S – tramo Quehuira - Pumamarca. A la reunión convocada por Antuyo para el día 28 en Tambobamba asistieron el alcalde electo de la provincia de Cotabambas, el Comisaría PNP de Tambobamba, la Subprefecta de Tambobamba y representantes de Antuyo. No asistieron los representantes del MTC, SGSD-PCM ni del Gobierno Regional de Apurímac, por lo que los representantes de Antuyo decidieron reprogramar la reunión para el mes de enero. Según información del MININTER del 29 de diciembre, en la vía que pasa por Antuyo no se permite el paso de vehículos que prestan servicios a la empresa minera Las Bambas. El traslado de minerales se realiza por la vía alterna Manantiales.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-178-Diciembre-2018.pdf,31/12/2018,178,Grupo_1237
"El 24 de diciembre se publicó el D.S. 128-2018-PCM que prorrogó el Estado de Emergencia por el término de 30 días calendario a partir del 29 de diciembre, en parte del Corredor Vial Apurímac - Cusco - Arequipa, desde el kilómetro 130 (referencia Sector Muyu Orcco) hasta el kilómetro 160 (referencia Sector Tiendayoc), de la Ruta Nacional PE-3SY, que comprende el distrito de Colquemarca de la provincia de Chumbivilcas, incluyendo los 500 metros adyacentes a cada lado del corredor en mención. El 8 de enero, la Fiscal de Turno de Chumbivilcas informó a la Defensoría del Pueblo que ocurrieron hechos de violencia en el sector Yavi Yavi, distrito de Colquemarca, provincia de Chumbivilcas, por el que resultaron heridos 11 policías y pérdidas materiales. Según información de la Red de Salud de Chumbivilcas algunos de estos fueron trasladados al Puesto de Salud de Ccapacmarca. El MININTER informó a la Defensoría del Pueblo que la intervención policial se realizó debido al bloqueo de la carretera en el sector Yavi Yavi a las 07:40 horas aproximadamente del 8 de enero, a la altura del Km. 148 del Corredor Vial Apurímac - Cusco - Arequipa; logrando restablecer el paso vehícular a las 11:15 horas del mismo día. El 9 de enero a través de una nota de prensa la Defensoría del Pueblo condenó los hechos de violencia en Yavi Yavi, del que resultaron 11 policías heridos, señalando que el gobierno nacional, a través del MTC y otros sectores, ha sostenido varias reuniones con la comunidad de Fuerabamba para tratar la situación jurídica de la carretera que cruza Yavi Yavi, sin haberse logrado una solución que ponga fin al conflicto. Ese mismo día, el MTC mediante comunicado señaló que la reunión entre el MTC y la comunidad de Fuerabamba, según lo acordado en la reunión anterior del 21 de diciembre de 2018, sería durante la primera quincena de enero, y por ello enviaron una comunicación formal al presidente comunal en la que se especificaba que la reunión sería el 10 de enero. El 10 de enero se realizó en la ciudad de Cusco una reunión entre el MTC y la comunidad de Fuerabamba. También participaron representantes de la SGSD-PCM, MINEM, MININTER, Defensoría del Pueblo y el Congresista Edgar Ochoa. Se llegaron a los siguientes acuerdos: 1. La próxima reunión se realizará el 18 de enero de 2019 a las 10:00 horas en Yavi Yavi para determinar la entidad responsable de la construcción de la vía, por lo que el MTC cursará invitaciones a la empresa Las Bambas, SGSD-PCM, Gobierno Regional del Cusco, Municipalidad Provincial de Chumbivilcas, Municipalidad Distrital de Colquemarca, MINEM y Defensoría del Pueblo, a fin de que pongan a disposición del MTC el expediente técnico de la construcción de la carretera, específicamente del tramo que pasa por el Fundo Yavi Yavi del año 2012 en adelante. 2. El MTC realizará el pago por afectaciones prediales a la comunidad de Fuerabamba (Fundo Yavi Yavi), para lo cual se sostendrá una reunión con la comunidad de Fuerabamba el 19 de enero de 2019, a fin de informar sobre el proceso de recojo de información y presentar un cronograma que permita elaborar el expediente técnico para el pago de afectaciones prediales. Esta reunión se confirmará el 18 de enero. 3. El MTC remitirá el 15 de enero al presidente de la comunidad de Fuerabamba el listado de la comitiva del Ejecutivo que participará en la reunión del 18 de enero. Asimismo, la comunidad remitirá al MTC el mismo día el listado de los participantes de su comunidad para dicha reunión. Ese mismo día el presidente de la comunidad de Fuerabamba comunicó a la Defensoría del Pueblo que 3 miembros de su comunidad resultaron heridos por los hechos del 8 de enero y fueron atendidos en la Clínica San Juan de Dios de la ciudad de Cusco (**). (**) La información sobre los civiles heridos está en proceso de verificación.",HAY DIÁLOGO,CASO NUEVO (*),Activo,,,,,Conflictos-Sociales-N°-178-Diciembre-2018.pdf,31/12/2018,178,Grupo_1854
La reunión programada para el día 14 de diciembre entre representantes de Velille y la empresa MMG Las Bambas con funcionarios del MINEM y la SGSD-PCM no se realizó al no haberse realizado la respectiva convocatoria a sus participantes.,HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-178-Diciembre-2018.pdf,31/12/2018,178,Grupo_1776
"Mediante Oficio N° 1972-2018-DP/APCSG remitido el 27 de diciembre, la Defensoría del Pueblo solicitó a la SGSD-PCM sobre la situación del diálogo respecto a la Mesa de Trabajo para el desarrollo de la Provincia de Cotabambas y el nivel de avance en el cumplimiento de los compromisos y acuerdos asumidos por las partes, así como las implicancias del Decreto Supremo N° 120-2018-PCM respecto a la continuidad del proceso de diálogo en la mencionada provincia. El 23 de enero las autoridades comunales de las comunidades Congota, Pitic, Miraflores, Andrés Avelino Cáceres y Yuricancha del distrito de mara, con la participación de (60) pobladores aproximadamente se reunieron con representantes de la empresa Minera MMG Las Bambas, con la siguiente agenda: a) viviendas afectadas, b) proyectos para cada comunidad, c) movilidad escolar y d) forestación. Durante la reunión los pobladores de las diferentes comunidades campesinas expusieron la problemática de las comunidades afectadas a los representantes de la empresa Minera MMG Las Bambas, donde arribaron con los siguientes acuerdos: 1. El representante de la empresa minera MMG Las Bambas, menciono que la demora fue por un tema administrativo y que el informe de evaluación de cada vivienda afectada se encuentra lista y que el 25 y 26 de enero se presentarán los dos equipos de trabajo para que ellos expongan el informe de las viviendas afectadas (rajaduras producto del paso de camiones que llevan los minerales) y den una fecha de inicio para empezar con el pago de las viviendas afectadas. 2. Los informes de proyectos de cada comunidad saldrán como fecha límite el 20 de febrero del 2019, si dichos proyectos son viables para cada comunidad. 3. Los pobladores de las comunidades de Congota, Pitic, Miraflores, Andrés Avelino Cáceres y Yuricancha, presentarán información sustentatoria y documentada para el otorgamiento de la movilidad escolar para el presente año y solicita que la respuesta a dicho pedido por la empresa MMG Las Bambas sea en el corto plazo y así evitar accidentes de tránsito. 4. Los proyectos de forestación en cada comunidad se iniciará la segunda quincena del mes de febrero del 2018 y que la mano de obra que la empresa contrate sea de la comunidad donde se realice el trabo y así generar puesto de trabajo. Por otro lado, los dirigentes comunales también manifestaron a la Defensoría del Pueblo que hasta la fecha el Ministerio de Trasportes y Comunicaciones no ha comunicado sobre los avances para cumplir con el pago de indemnización por derecho de vía y que acordaron dar una última oportunidad para programar una reunión de trabajo en Lima donde presentarán la documentación sustentadora. La empresa MMG Las Bambas ayudará con los gastos de viaje a Lima. Asimismo, señalaron que tienen programada una reunión entre dirigentes comunales el 27 de enero y el 28 de enero viajarían a la ciudad de Lima, indicando que en caso de no ser atendido su reclamo realizarán acciones de protestas. El 28 de enero, en la reunión realizada en Lima entre los funcionarios del Ministerio de Transportes y Comunicaciones y autoridades comunales de las Comunidades Campesinas de Congota, Pitic, Miraflores, Andrés Avelino Cáceres y Yuricancha del distrito de Mara, se acordó que la segunda semana de febrero se reiniciarían los trabajos técnicos para el pago por derecho de vía. El Ministerio de Transportes y Comunicaciones ha comunicado a las autoridades comunales de Congota, Pitic, Miraflores, Andrés Avelino Cáceres y Yuricancha del distrito de Mara, a través del Alcalde Distrital de Mara, la convocatoria a una reunión a llevarse a cabo el 18 de febrero, en la comunidad de Yuricancha.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-179-Enero-2019.pdf,31/01/2019,179,Grupo_1237
"El 17 de enero la Fiscalía Provincial Penal de Chumbivilcas entregó copia del Acta de Constatación Fiscal y Policial del 8 de enero sobre los hechos de violencia ocurridos en el sector Yavi Yavi, distrito de Colquemarca, donde se hace referencia a la incineración de carpas de la Policía Nacional, así como de la agresión a 11 efectivos policiales. El 18 de enero se realizó en el sector Yavi Yavi del distrito de Colquemarca una reunión de diálogo entre la comunidad de Fuerabamba, la empresa MMG, representantes de la SGSD- PCM como mediador, DGSASA, Prefectura de Cusco, PNP, MININTER, el Congresista Edgar Ochoa y la Defensoría del Pueblo. La DGASA-MTC realizó una breve exposición de la información encontrada en mapas georeferenciales donde se tendría registro de la vía en cuestión desde el año 2009, informe con el que no estuvieron de acuerdo los comuneros y solicitaron que el MTC muestre documentación que permita aclarar quién construyó la carretera. Por su parte, los representantes de la empresa indicaron que cumplieron estrictamente todos los procedimientos para otorgar el predio a los comuneros de Fuerabamba y que esa permuta incluyó la servidumbre de dicha vía. Después de varias intervenciones, hubo un cuarto intermedio, ya que se identificó como punto clave a resolver, determinar quién construyó la carretera, si fue alguna entidad del Estado o la empresa Las Bambas. Después del cuarto intermedio, habiéndose identificado que el problema era de naturaleza estrictamente legal, se organizó una sub reunión o mesa de trabajo con los representantes de la empresa y la comunidad de Fuerabamba, donde se discutió la documentación con la que contaban en ese momento sobre los procedimientos de otorgamiento de derechos, servidumbre, etc. La reunión tuvo que suspenderse por la presencia de lluvias intensas, habiendo continuado con la misma en las carpas de la policía. Sin embargo, no pudo llegar a un conclusión porque los integrantes de la empresa solicitaron más tiempo a fin de presentar los documentos que acrediten que se entregó el predio Yavi Yavi con una servidumbre. Por ello se acordó que la próxima reunión se lleve a cabo el 30 de enero nuevamente en Yavi Yavi. El 30 de enero se realizó en el sector Yavi Yavi del distrito de Colquemarca una reunión de diálogo entre la comunidad de Fuerabamba y la empresa MMG Las Bambas, con participación de la SGSD-PCM como mediador, DGASA-MTC, MININTER y la Defensoría del Pueblo. Se acordó que la empresa y la comunidad presenten para el 4 de febrero en Fuerabamba sus respectivas propuestas de solución integral por el uso de la vía. El 1 de febrero la Defensoría del Pueblo mediante nota de prensa hizo un llamado a las partes a privilegiar el diálogo de buena fe e invocó a poner de lado el uso de medios violentos que afecten el proceso de diálogo y los derechos de los demás. El MTC emitió un comunicado el 4 de febrero indicando que conforme a los protocolos de seguridad del Poder Ejecutivo se dispuso cambiar el lugar de la reunión al Auditorio de la Municipalidad Provincial de Cotabambas - Tambobamba, en el mismo horario. En Tambobamba se levantó un Acta de reunión, con la indicación de la inasistencia de la comunidad de Fuerabamba. Luego de varias coordinaciones entre el Poder Ejecutivo, a través de la SGSD-CPM y la DGASA-MTC, con ambas partes y contando con la intermediación de la Defensoría del Pueblo ante la comunidad para establecer condiciones previas para el diálogo, las partes acordaron continuar el diálogo. El 13 de febrero se realizó en la ciudad de Cusco una reunión entre la empresa MMG Las Bambas y la comunidad de Fuerabamba. También participaron representantes de la SGSD-PCM en calidad de mediador, DGASA-MTC, OGGS- MINEM, el Congresista Edgar Ochoa y la Defensoría del Pueblo. Las partes acreditaron una comisión negociadora cada una y tuvieron una negociación directa presentando sus propuestas. Al día siguiente continuó la reunión entre las partes en Cusco. Se acordó que la próxima reunión será el 21 de febrero en Cusco.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-179-Enero-2019.pdf,31/01/2019,179,Grupo_1854
"El 25 de enero se reunieron en el distrito de Velille representantes del MINEM, SGSD-PCM, Municipalidad de Velille, empresa Minera Las Bambas, Representantes de barrios vecinales de Velille, Rondas Campesinas y Frente de Defensa de Velille. Se acordó trabajar la agenda establecida el 26 de julio del 2018 en 5 grupos de trabajo sobre los temas: a) Modificación de EIA, b) Evaluación y revisión de cumplimiento de compromisos con el distrito de Velille, en las comunidades de Collana, Tuntuma y barrios de Velille, c) Indemnización y compensación social al distrito de Velille, d) Acceso a la prestación de servicio laboral, contratación de bienes y servicios, y e) Firma de Convenio marco. La empresa minera las Bambas acreditará sus representantes ante el MINEM el 30 de enero. Los 5 grupos de trabajo sesionarán de manera simultánea el 12 de febrero. La mesa cursará invitación al SENACE. Mediante pronunciamiento público, las organizaciones sociales, el Alcalde del distrito de Velille señalaron que la empresa MMG Las Bambas y los representantes del Estado no asistieron a la reunión acordada para el 12 de febrero, por lo que solicitan se continúe el proceso de diálogo el 26 de febrero, caso contrario se tomará otras medidas. El Alcalde de Velille señaló que la OGGS-MINEM hizo llegar el 12 de febrero un oficio al municipio solicitando que la reunión se reprograme por motivo de bloqueos de vías en la ciudad de Cusco, lo que imposibilitó su presencia en la reunión.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-179-Enero-2019.pdf,31/01/2019,179,Grupo_1776
"Mediante Oficio N° 006-2019-DP/APCSG del 27 de febrero, la Defensoría del Pueblo solicitó a la Secretaría de Gestión Social y Diálogo de la Presidencia del Consejo de Ministros información sobre el nivel de cumplimiento de los acuerdos de la mesa desarrollo para el distrito de Challhuahuacho, mesa de diálogo para la provincia de Cotabambas, mesa de desarrollo para la provincia de Grau y del Plan de Desarrollo de Cotabambas y el distrito de Progreso.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-180-Febrero-2018.pdf,28/02/2019,180,Grupo_1237
"A la prórroga del Estado de Emergencia declarada por Decreto Supremo N° 008-2019-PCM del 25 de enero, por el término de 30 días calendario a partir del 28 de enero, en parte del Corredor Vial Apurímac - Cusco - Arequipa, desde el kilómetro 130 (referencia Sector Muyu Orcco) hasta el kilómetro 160 (referencia Sector Tiendayoc), de la Ruta Nacional PE-3SY, que comprende el distrito de Colquemarca de la provincia de Chumbivilcas, incluyendo los 500 metros adyacentes a cada lado del corredor en mención, le siguió la prórroga declarada por Decreto Supremo N° 038-2019-PCM del 26 de febrero de 2019, por igual plazo contado desde el 27 de febrero y en el mismo ámbito territorial. Sobre las prórrogas del estado de emergencia en parte del Corredor Vial, que comprende el distrito de Colquemarca, la Defensoría del Pueblo emitió una opinión sobre la prórroga del estado de emergencia declarada por Decreto Supremo N° 115- 2018-PCM del 25 de noviembre de 2018, a pedido de un sector de la ciudadanía. Se concluyó que la mencionada norma es inconstitucional por ser una medida injustificada, innecesaria y que desnaturaliza el principio de transitoriedad que define a todo régimen de excepción. La opinión defensorial fue remitida formalmente a la Presidencia del Consejo de Ministros a fines de diciembre de 2018. El 21 de febrero se reunieron en la sede de Electro Perú en Cusco representantes de la SGSD-PCM, DGASA-MTC, OGGS- MINEM, DGOP-MININTER, la Prefecta de la región Cusco, la comunidad campesina de Fuerabamba, la empresa MMG Las Bambas y la Defensoría del Pueblo. La agenda de la reunión fue la siguiente: i) informe de la directiva de la comunidad ante la asamblea en relación a la propuesta planteada por la empresa el 14 de febrero, ii) Informe del Ejecutivo en relación a la situación social en el predio denominado Yavi Yavi, y iii) Reinicio de los comités de negociación de la empresa minera Las Bambas y la comunidad. Frente a la cuestión previa señalada por el Poder Ejecutivo, la comunidad planteó la liberación de la vía siempre y cuando la solución se concrete en esa reunión por parte de la empresa. Por su parte, la empresa señaló su predisposición a continuar el diálogo siempre y cuando se libere la vía, de acuerdo al pedido realizado por el Poder Ejecutivo. Al no haber un acuerdo sobre ello, el Poder Ejecutivo decidió suspender su intermediación en el diálogo entre las partes, en tanto este no se de bajo un clima de paz y tranquilidad, con respeto al derecho de ambas partes, con la liberación total de la vía sin ninguna restricción y queda a la espera de la solicitud de las partes para seguir facilitando el diálogo. El día 22, mediante Carta LBA-113/2019, la empresa MMG Las Bambas solicita formalmente al Poder Ejecutivo que a través del Viceministerio de Gobernanza Territorial continúe con la facilitación del diálogo entre las partes. El día 26, mediante Oficio N° 203-2019-DP/OD-CUSCO la Defensoría del Pueblo solicitó a la Región Policial Cusco copia del Informe N° 08-2019-VII MACREPOL-SEC/OFIPLO, que sirvió de sustento para la emisión del Decreto Supremo N° 038- 2019-PCM, que prorrogó el estado de emergencia en parte del Corredor Vial. El día 27, la comunidad campesina de Fuerabamba remite la Carta N° 001-2019-P-C-C-FUERABAMBA-COL-CHU-CUSCO dirigida al Presidente del Consejo de Ministros, entre otras autoridades, en la que solicitan al Gobierno Nacional interceder como mediador en la solución del conflicto para el 4 de marzo en la ciudad de Cusco. El 4 de marzo se reunieron en la sede de Electro Perú en Cusco representantes de la SGSD-PCM, DGASA-MTC, OGGS- MINEM, DGOP-MININTER, el Gobernador Regional de Cusco, la Prefecta de la región Cusco, la comunidad campesina de Fuerabamba, la empresa MMG Las Bambas y la Defensoría del Pueblo. Frente al pedido del Poder Ejecutivo de liberar la vía, no se llegó a ningún acuerdo, por lo que la reunión concluyó. Se acordó sostener una reunión el 7 de marzo en Lima con el Viceministro de Gobernanza Territorial y demás funcionarios del Estado, y posteriormente, el 11 de marzo una nueva reunión con la empresa en la ciudad de Cusco. El día 7 se reunieron en Lima en la sede de la PCM, el Viceministro de Gobernanza Territorial, el Gobernador Regional del Cusco, representantes de la SGSD-PCM, DGASA-MTC, OGGS-MINEM, DGOP-MININTER, la Prefecta de la región Cusco, el Congresista Dalmiro Palomino, la comunidad campesina de Fuerabamba y la Defensoría del Pueblo. El MTC hizo una exposición de los resultados de sus hallazgos sobre la construcción de la vía que cruza Yavi Yavi, así como una explicación técnica de la incorporación de la vías al Clasificador de Rutas del Sistema Nacional de Carreteras respecto a la reclasificación de la vía que cruza Yavi Yavi como Ruta Nacional por la Resolución Ministerial N° 372-2018 MTC/01.02. Seguidamente, el Ejecutivo solicitó a la comunidad de Fuerabamba que libere la vía en su totalidad la ser una vía de uso público, como condición para el diálogo, lo cual no fue aceptado por la comunidad señalando que son los propietarios del predio Yavi Yavi. El día 11, no se realizó la reunión en la sede del Gobierno Regional de Cusco debido a que la comunidad campesina de Fuerabamba no asistió a la reunión. En el Oficio N° 022-PC-F- YAVIYAVI-COLQUEMARCA-CH-CUSCO remitida ese mismo día al Gobernador Regional del Cusco, la comunidad señala que no asistió a la reunión por el cambio del Presidente del Consejo de Ministros así como el cambio de ministros, solicitando que se programe la reunión en Yavi Yavi. El día 12, el Gobernador Regional de Cusco en Carta S/N dirigida a la comunidad de Fuerabamba, le solicita reiniciar el diálogo y sostener una reunión de coordinación con todas las instituciones citadas previamente para el 13 de marzo en las instalaciones del gobierno regional.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-180-Febrero-2018.pdf,28/02/2019,180,Grupo_1854
"El 26 de febrero se reunieron en Velille, representantes del Ministerio de Energía y Minas, SGSD-PCM, OEFA, Minera Las Bambas, el Alcalde Distrital de Velille, el Frente Único de Defensa de Velille, sociedad civil, barrios, comunidades y organizaciones sociales del referido distrito. Según el acta del 25 de enero, las partes acreditadas sostuvieron reuniones en los 5 grupos de trabajo, luego de lo cual informaron los resultados de dicha reunión: i) Modificación del EIA, considerar a Velille directamente directamente ambiental e indirecta social.- El equipo técnico de la Municipalidad de Velille enviará el informe técnico sobre el EIA a SENACE para su evaluación y emisión de opinión técnica para continuar con el tratamiento del tema en el grupo de trabajo. ii) Evaluación y revisión del cumplimiento de compromisos con el distrito de Velille, en las comunidades de Collana, Tuntuma y Barrios de Velille.- Se verificará la validez de los acuerdos suscritos entre la empresa y el sector Pataqsillo para ejecución de proyectos. Se debatió sobre posibles compromisos pendientes de la empresa Las Bambas de los años 2012 al 2017 en Pataqsillo. Se debatió sobre posibles retrasos de algunas obras en San Roque. Para la próxima reunión está pendiente la evaluación de la situación de Ccollana y Tuntuma. La empresa minera presentará para la próxima reunión los documentos sustentatorios sobre acuerdos y cumplimiento de compromisos con el distrito. iii) Indemnización y compensación social y ambiental con el distrito de Velille.- Se debate sobre existencia de posibles impactos en el medio ambiente por efecto de paso de camiones. La empresa Las Bambas pide que las denuncias se hagan con sustento técnico. Personal del OEFA explicó procesos técnicos de monitoreos para evidenciar posibles situaciones de contaminación y recomienda realizar denuncias según sea el caso. iv) Velille tenga acceso a la prestación de servicios laborales, contratación de bienes y servicios.- Se acordó que la empresa informará oportunamente sobre procesos de convocatoria de personal a las 8 comunidades y población del distrito. Los demás puntos pendientes se tratarán en la siguiente reunión. v) Firma de convenio marco.- La empresa Las Bambas expresó su política sobre los convenios marco y propuso un Acuerdo de Cooperación en el ámbito de un Plan de Desarrollo del Distrito de Velille. La población de Velille ratifica su solicitud de la firma de un convenio marco en mérito al paso de vía por su territorio. El diálogo sobre ese punto continuará en la siguiente reunión. La próxima reunión se realizará el 12 de marzo y se cursará invitación al SENACE, MTC y MINAM.",HAY DIÁLOGO,,Activo,,,,,Conflictos-Sociales-N°-180-Febrero-2018.pdf,28/02/2019,180,Grupo_1776
